residence.en,monolingual,multilingual
Archib,7,154
Arkhit,8,12
Balkhar,92,56
Bezhta,8,213
Burkikhan,41,78
Chabanmakhi,54,70
Chankurbe,64,73
Chirag,37,66
Chitab,28,27
Chumli,20,34
Chuni,61,179
Darvag,142,5
Dorgeli,103,1
Durangi,36,17
Dyubek,41,91
Dzhavgat,32,170
Ersi,125,37
Gel'mets,30,151
Hinuq,1,155
Ikhrek,36,153
Karata,12,238
Khiv,4,47
Khlyut,70,49
Khpyuk,1,91
Kiche,8,82
Kidero,15,225
Kina,51,115
Kizhani,79,38
Kug,4,23
Kuli,56,4
Laka,2,26
Mallakent,15,38
Megeb,26,204
Mikik,17,54
Mukar,59,27
Obokh,75,12
Richa,18,43
Rikvani,19,130
Rutul,25,106
Shalib,16,35
Shangoda,31,77
Shukty,77,30
Tad-Magitl',2,112
Tlibisho,8,178
Tsukhta,90,179
Tsulikana,38,54
Tukita,2,132
Tumenler,11,15
Upper Ubekimakhi,40,68
Uri,24,30
Yangikent,35,27
Zilo,6,153
